"","timeId","mcYear","weekly_water_amount_0","weekly_water_amount_42000","weekly_water_amount_84000","weekly_water_amount_126000","weekly_water_amount_168000"
"1",1,1,0,2027275,4011901,5578960,6123994
"2",2,1,0,2099388,4096953,4749888,5294922
"3",3,1,0,2026315,4010941,5919303,6464337
"4",4,1,0,1989147,3981691,5062767,5607801
"5",5,1,0,1989196,3973822,5958448,7192961
"6",6,1,0,2008542,3993168,5977794,7035083
"7",7,1,0,2078660,4063286,6047912,6906315
"8",8,1,0,1993771,3978397,5963023,7561324
"9",9,1,0,1991499,3982363,5122583,5667617
"10",10,1,0,1989133,3986236,5049369,5594403
"11",11,1,0,2007129,3595627,4140661,4685695
"12",12,1,0,2015269,3461556,4006590,4551624
"13",13,1,0,1984626,3983562,5728047,6273081
"14",14,1,0,1998360,3982986,5915979,6461013
"15",15,1,0,2001832,3992693,5635491,6180525
"16",16,1,0,2001168,3988464,5220701,5765735
"17",17,1,0,2001188,3869039,4414073,4959107
"18",18,1,0,2002278,3346759,3891793,4436827
"19",19,1,0,1991563,3161624,3706658,4251692
"20",20,1,0,2004123,2964290,3509324,4054358
"21",21,1,0,2020013,2781057,3326091,3871125
"22",22,1,0,1985805,2530839,3075873,3620907
"23",23,1,0,1860365,2405399,2950433,3495467
"24",24,1,0,1669914,2214948,2759982,3305016
"25",25,1,0,1458794,2003828,2548862,3093896
"26",26,1,0,1331311,1876345,2421379,2966413
"27",27,1,0,1302870,1847904,2392938,2937972
"28",28,1,0,956648,1501682,2046716,2591750
"29",29,1,0,1285831,1830865,2375899,2920933
"30",30,1,0,1295014,1840048,2385082,2930116
"31",31,1,0,838471,1383505,1928539,2473573
"32",32,1,0,1085354,1630388,2175422,2720456
"33",33,1,0,1226404,1771438,2316472,2861506
"34",34,1,0,2027189,4011815,5996441,7631362
"35",35,1,0,2014240,3762304,4307338,4852372
"36",36,1,0,1031277,1576311,2121345,2666379
"37",37,1,0,1206783,1751817,2296851,2841885
"38",38,1,0,1275754,1820788,2365822,2910856
"39",39,1,0,1428014,1973048,2518082,3063116
"40",40,1,0,1656955,2201989,2747023,3292057
"41",41,1,0,1790106,2335140,2880174,3425208
"42",42,1,0,1923149,2468183,3013217,3558251
"43",43,1,0,2035101,2605115,3150149,3695183
"44",44,1,0,1879022,2424056,2969090,3514124
"45",45,1,0,1090245,1635279,2180313,2725347
"46",46,1,0,1766374,2311408,2856442,3401476
"47",47,1,0,1980787,2525821,3070855,3615889
"48",48,1,0,1986460,3746852,4291886,4836920
"49",49,1,0,1990470,4004008,4613327,5158361
"50",50,1,0,2003478,3127673,3672707,4217741
"51",51,1,0,1987197,3986785,4734904,5279938
"52",52,1,0,2045706,2616429,3161463,3706497
